,layer,shape,size
13,features.denseblock1.denselayer1.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
14,features.denseblock1.denselayer1.conv2.conv_out.bias,torch.Size([28]),28
15,features.denseblock1.denselayer1.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
16,features.denseblock1.denselayer1.conv2.qkv_conv.bias,torch.Size([84]),84
17,features.denseblock1.denselayer1.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
18,features.denseblock1.denselayer1.conv2.attn_out.bias,torch.Size([4]),4
19,features.denseblock1.denselayer2.norm1.weight,torch.Size([96]),96
20,features.denseblock1.denselayer2.norm1.bias,torch.Size([96]),96
21,features.denseblock1.denselayer2.conv1.conv_out.weight,"torch.Size([124, 96, 1, 1])",11904
22,features.denseblock1.denselayer2.conv1.conv_out.bias,torch.Size([124]),124
23,features.denseblock1.denselayer2.conv1.qkv_conv.weight,"torch.Size([84, 96, 1, 1])",8064
24,features.denseblock1.denselayer2.conv1.qkv_conv.bias,torch.Size([84]),84
25,features.denseblock1.denselayer2.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
26,features.denseblock1.denselayer2.conv1.attn_out.bias,torch.Size([4]),4
27,features.denseblock1.denselayer2.norm2.weight,torch.Size([128]),128
28,features.denseblock1.denselayer2.norm2.bias,torch.Size([128]),128
29,features.denseblock1.denselayer2.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
30,features.denseblock1.denselayer2.conv2.conv_out.bias,torch.Size([28]),28
31,features.denseblock1.denselayer2.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
32,features.denseblock1.denselayer2.conv2.qkv_conv.bias,torch.Size([84]),84
33,features.denseblock1.denselayer2.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
34,features.denseblock1.denselayer2.conv2.attn_out.bias,torch.Size([4]),4
35,features.denseblock1.denselayer3.norm1.weight,torch.Size([128]),128
36,features.denseblock1.denselayer3.norm1.bias,torch.Size([128]),128
37,features.denseblock1.denselayer3.conv1.conv_out.weight,"torch.Size([124, 128, 1, 1])",15872
38,features.denseblock1.denselayer3.conv1.conv_out.bias,torch.Size([124]),124
39,features.denseblock1.denselayer3.conv1.qkv_conv.weight,"torch.Size([84, 128, 1, 1])",10752
40,features.denseblock1.denselayer3.conv1.qkv_conv.bias,torch.Size([84]),84
41,features.denseblock1.denselayer3.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
42,features.denseblock1.denselayer3.conv1.attn_out.bias,torch.Size([4]),4
43,features.denseblock1.denselayer3.norm2.weight,torch.Size([128]),128
44,features.denseblock1.denselayer3.norm2.bias,torch.Size([128]),128
45,features.denseblock1.denselayer3.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
46,features.denseblock1.denselayer3.conv2.conv_out.bias,torch.Size([28]),28
47,features.denseblock1.denselayer3.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
48,features.denseblock1.denselayer3.conv2.qkv_conv.bias,torch.Size([84]),84
49,features.denseblock1.denselayer3.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
50,features.denseblock1.denselayer3.conv2.attn_out.bias,torch.Size([4]),4
51,features.denseblock1.denselayer4.norm1.weight,torch.Size([160]),160
52,features.denseblock1.denselayer4.norm1.bias,torch.Size([160]),160
53,features.denseblock1.denselayer4.conv1.conv_out.weight,"torch.Size([124, 160, 1, 1])",19840
54,features.denseblock1.denselayer4.conv1.conv_out.bias,torch.Size([124]),124
55,features.denseblock1.denselayer4.conv1.qkv_conv.weight,"torch.Size([84, 160, 1, 1])",13440
56,features.denseblock1.denselayer4.conv1.qkv_conv.bias,torch.Size([84]),84
57,features.denseblock1.denselayer4.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
58,features.denseblock1.denselayer4.conv1.attn_out.bias,torch.Size([4]),4
59,features.denseblock1.denselayer4.norm2.weight,torch.Size([128]),128
60,features.denseblock1.denselayer4.norm2.bias,torch.Size([128]),128
61,features.denseblock1.denselayer4.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
62,features.denseblock1.denselayer4.conv2.conv_out.bias,torch.Size([28]),28
63,features.denseblock1.denselayer4.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
64,features.denseblock1.denselayer4.conv2.qkv_conv.bias,torch.Size([84]),84
65,features.denseblock1.denselayer4.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
66,features.denseblock1.denselayer4.conv2.attn_out.bias,torch.Size([4]),4
67,features.denseblock1.denselayer5.norm1.weight,torch.Size([192]),192
68,features.denseblock1.denselayer5.norm1.bias,torch.Size([192]),192
69,features.denseblock1.denselayer5.conv1.conv_out.weight,"torch.Size([124, 192, 1, 1])",23808
70,features.denseblock1.denselayer5.conv1.conv_out.bias,torch.Size([124]),124
71,features.denseblock1.denselayer5.conv1.qkv_conv.weight,"torch.Size([84, 192, 1, 1])",16128
72,features.denseblock1.denselayer5.conv1.qkv_conv.bias,torch.Size([84]),84
73,features.denseblock1.denselayer5.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
74,features.denseblock1.denselayer5.conv1.attn_out.bias,torch.Size([4]),4
75,features.denseblock1.denselayer5.norm2.weight,torch.Size([128]),128
76,features.denseblock1.denselayer5.norm2.bias,torch.Size([128]),128
77,features.denseblock1.denselayer5.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
78,features.denseblock1.denselayer5.conv2.conv_out.bias,torch.Size([28]),28
79,features.denseblock1.denselayer5.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
80,features.denseblock1.denselayer5.conv2.qkv_conv.bias,torch.Size([84]),84
81,features.denseblock1.denselayer5.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
82,features.denseblock1.denselayer5.conv2.attn_out.bias,torch.Size([4]),4
83,features.denseblock1.denselayer6.norm1.weight,torch.Size([224]),224
84,features.denseblock1.denselayer6.norm1.bias,torch.Size([224]),224
85,features.denseblock1.denselayer6.conv1.conv_out.weight,"torch.Size([124, 224, 1, 1])",27776
86,features.denseblock1.denselayer6.conv1.conv_out.bias,torch.Size([124]),124
87,features.denseblock1.denselayer6.conv1.qkv_conv.weight,"torch.Size([84, 224, 1, 1])",18816
88,features.denseblock1.denselayer6.conv1.qkv_conv.bias,torch.Size([84]),84
89,features.denseblock1.denselayer6.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
90,features.denseblock1.denselayer6.conv1.attn_out.bias,torch.Size([4]),4
91,features.denseblock1.denselayer6.norm2.weight,torch.Size([128]),128
92,features.denseblock1.denselayer6.norm2.bias,torch.Size([128]),128
93,features.denseblock1.denselayer6.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
94,features.denseblock1.denselayer6.conv2.conv_out.bias,torch.Size([28]),28
95,features.denseblock1.denselayer6.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
96,features.denseblock1.denselayer6.conv2.qkv_conv.bias,torch.Size([84]),84
97,features.denseblock1.denselayer6.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
98,features.denseblock1.denselayer6.conv2.attn_out.bias,torch.Size([4]),4
99,features.transition1.norm.weight,torch.Size([256]),256
100,features.transition1.norm.bias,torch.Size([256]),256
101,features.transition1.conv.weight,"torch.Size([128, 256, 1, 1])",32768
102,features.denseblock2.denselayer1.norm1.weight,torch.Size([128]),128
103,features.denseblock2.denselayer1.norm1.bias,torch.Size([128]),128
104,features.denseblock2.denselayer1.conv1.conv_out.weight,"torch.Size([124, 128, 1, 1])",15872
105,features.denseblock2.denselayer1.conv1.conv_out.bias,torch.Size([124]),124
106,features.denseblock2.denselayer1.conv1.qkv_conv.weight,"torch.Size([84, 128, 1, 1])",10752
107,features.denseblock2.denselayer1.conv1.qkv_conv.bias,torch.Size([84]),84
108,features.denseblock2.denselayer1.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
109,features.denseblock2.denselayer1.conv1.attn_out.bias,torch.Size([4]),4
110,features.denseblock2.denselayer1.norm2.weight,torch.Size([128]),128
111,features.denseblock2.denselayer1.norm2.bias,torch.Size([128]),128
112,features.denseblock2.denselayer1.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
113,features.denseblock2.denselayer1.conv2.conv_out.bias,torch.Size([28]),28
114,features.denseblock2.denselayer1.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
115,features.denseblock2.denselayer1.conv2.qkv_conv.bias,torch.Size([84]),84
116,features.denseblock2.denselayer1.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
117,features.denseblock2.denselayer1.conv2.attn_out.bias,torch.Size([4]),4
118,features.denseblock2.denselayer2.norm1.weight,torch.Size([160]),160
119,features.denseblock2.denselayer2.norm1.bias,torch.Size([160]),160
120,features.denseblock2.denselayer2.conv1.conv_out.weight,"torch.Size([124, 160, 1, 1])",19840
121,features.denseblock2.denselayer2.conv1.conv_out.bias,torch.Size([124]),124
122,features.denseblock2.denselayer2.conv1.qkv_conv.weight,"torch.Size([84, 160, 1, 1])",13440
123,features.denseblock2.denselayer2.conv1.qkv_conv.bias,torch.Size([84]),84
124,features.denseblock2.denselayer2.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
125,features.denseblock2.denselayer2.conv1.attn_out.bias,torch.Size([4]),4
126,features.denseblock2.denselayer2.norm2.weight,torch.Size([128]),128
127,features.denseblock2.denselayer2.norm2.bias,torch.Size([128]),128
128,features.denseblock2.denselayer2.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
129,features.denseblock2.denselayer2.conv2.conv_out.bias,torch.Size([28]),28
130,features.denseblock2.denselayer2.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
131,features.denseblock2.denselayer2.conv2.qkv_conv.bias,torch.Size([84]),84
132,features.denseblock2.denselayer2.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
133,features.denseblock2.denselayer2.conv2.attn_out.bias,torch.Size([4]),4
134,features.denseblock2.denselayer3.norm1.weight,torch.Size([192]),192
135,features.denseblock2.denselayer3.norm1.bias,torch.Size([192]),192
136,features.denseblock2.denselayer3.conv1.conv_out.weight,"torch.Size([124, 192, 1, 1])",23808
137,features.denseblock2.denselayer3.conv1.conv_out.bias,torch.Size([124]),124
138,features.denseblock2.denselayer3.conv1.qkv_conv.weight,"torch.Size([84, 192, 1, 1])",16128
139,features.denseblock2.denselayer3.conv1.qkv_conv.bias,torch.Size([84]),84
140,features.denseblock2.denselayer3.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
141,features.denseblock2.denselayer3.conv1.attn_out.bias,torch.Size([4]),4
142,features.denseblock2.denselayer3.norm2.weight,torch.Size([128]),128
143,features.denseblock2.denselayer3.norm2.bias,torch.Size([128]),128
144,features.denseblock2.denselayer3.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
145,features.denseblock2.denselayer3.conv2.conv_out.bias,torch.Size([28]),28
146,features.denseblock2.denselayer3.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
147,features.denseblock2.denselayer3.conv2.qkv_conv.bias,torch.Size([84]),84
148,features.denseblock2.denselayer3.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
149,features.denseblock2.denselayer3.conv2.attn_out.bias,torch.Size([4]),4
150,features.denseblock2.denselayer4.norm1.weight,torch.Size([224]),224
151,features.denseblock2.denselayer4.norm1.bias,torch.Size([224]),224
152,features.denseblock2.denselayer4.conv1.conv_out.weight,"torch.Size([124, 224, 1, 1])",27776
153,features.denseblock2.denselayer4.conv1.conv_out.bias,torch.Size([124]),124
154,features.denseblock2.denselayer4.conv1.qkv_conv.weight,"torch.Size([84, 224, 1, 1])",18816
155,features.denseblock2.denselayer4.conv1.qkv_conv.bias,torch.Size([84]),84
156,features.denseblock2.denselayer4.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
157,features.denseblock2.denselayer4.conv1.attn_out.bias,torch.Size([4]),4
158,features.denseblock2.denselayer4.norm2.weight,torch.Size([128]),128
159,features.denseblock2.denselayer4.norm2.bias,torch.Size([128]),128
160,features.denseblock2.denselayer4.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
161,features.denseblock2.denselayer4.conv2.conv_out.bias,torch.Size([28]),28
162,features.denseblock2.denselayer4.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
163,features.denseblock2.denselayer4.conv2.qkv_conv.bias,torch.Size([84]),84
164,features.denseblock2.denselayer4.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
165,features.denseblock2.denselayer4.conv2.attn_out.bias,torch.Size([4]),4
166,features.denseblock2.denselayer5.norm1.weight,torch.Size([256]),256
167,features.denseblock2.denselayer5.norm1.bias,torch.Size([256]),256
168,features.denseblock2.denselayer5.conv1.conv_out.weight,"torch.Size([124, 256, 1, 1])",31744
169,features.denseblock2.denselayer5.conv1.conv_out.bias,torch.Size([124]),124
170,features.denseblock2.denselayer5.conv1.qkv_conv.weight,"torch.Size([84, 256, 1, 1])",21504
171,features.denseblock2.denselayer5.conv1.qkv_conv.bias,torch.Size([84]),84
172,features.denseblock2.denselayer5.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
173,features.denseblock2.denselayer5.conv1.attn_out.bias,torch.Size([4]),4
174,features.denseblock2.denselayer5.norm2.weight,torch.Size([128]),128
175,features.denseblock2.denselayer5.norm2.bias,torch.Size([128]),128
176,features.denseblock2.denselayer5.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
177,features.denseblock2.denselayer5.conv2.conv_out.bias,torch.Size([28]),28
178,features.denseblock2.denselayer5.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
179,features.denseblock2.denselayer5.conv2.qkv_conv.bias,torch.Size([84]),84
180,features.denseblock2.denselayer5.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
181,features.denseblock2.denselayer5.conv2.attn_out.bias,torch.Size([4]),4
182,features.denseblock2.denselayer6.norm1.weight,torch.Size([288]),288
183,features.denseblock2.denselayer6.norm1.bias,torch.Size([288]),288
184,features.denseblock2.denselayer6.conv1.conv_out.weight,"torch.Size([124, 288, 1, 1])",35712
185,features.denseblock2.denselayer6.conv1.conv_out.bias,torch.Size([124]),124
186,features.denseblock2.denselayer6.conv1.qkv_conv.weight,"torch.Size([84, 288, 1, 1])",24192
187,features.denseblock2.denselayer6.conv1.qkv_conv.bias,torch.Size([84]),84
188,features.denseblock2.denselayer6.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
189,features.denseblock2.denselayer6.conv1.attn_out.bias,torch.Size([4]),4
190,features.denseblock2.denselayer6.norm2.weight,torch.Size([128]),128
191,features.denseblock2.denselayer6.norm2.bias,torch.Size([128]),128
192,features.denseblock2.denselayer6.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
193,features.denseblock2.denselayer6.conv2.conv_out.bias,torch.Size([28]),28
194,features.denseblock2.denselayer6.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
195,features.denseblock2.denselayer6.conv2.qkv_conv.bias,torch.Size([84]),84
196,features.denseblock2.denselayer6.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
197,features.denseblock2.denselayer6.conv2.attn_out.bias,torch.Size([4]),4
198,features.denseblock2.denselayer7.norm1.weight,torch.Size([320]),320
199,features.denseblock2.denselayer7.norm1.bias,torch.Size([320]),320
200,features.denseblock2.denselayer7.conv1.conv_out.weight,"torch.Size([124, 320, 1, 1])",39680
201,features.denseblock2.denselayer7.conv1.conv_out.bias,torch.Size([124]),124
202,features.denseblock2.denselayer7.conv1.qkv_conv.weight,"torch.Size([84, 320, 1, 1])",26880
203,features.denseblock2.denselayer7.conv1.qkv_conv.bias,torch.Size([84]),84
204,features.denseblock2.denselayer7.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
205,features.denseblock2.denselayer7.conv1.attn_out.bias,torch.Size([4]),4
206,features.denseblock2.denselayer7.norm2.weight,torch.Size([128]),128
207,features.denseblock2.denselayer7.norm2.bias,torch.Size([128]),128
208,features.denseblock2.denselayer7.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
209,features.denseblock2.denselayer7.conv2.conv_out.bias,torch.Size([28]),28
210,features.denseblock2.denselayer7.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
211,features.denseblock2.denselayer7.conv2.qkv_conv.bias,torch.Size([84]),84
212,features.denseblock2.denselayer7.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
213,features.denseblock2.denselayer7.conv2.attn_out.bias,torch.Size([4]),4
214,features.denseblock2.denselayer8.norm1.weight,torch.Size([352]),352
215,features.denseblock2.denselayer8.norm1.bias,torch.Size([352]),352
216,features.denseblock2.denselayer8.conv1.conv_out.weight,"torch.Size([124, 352, 1, 1])",43648
217,features.denseblock2.denselayer8.conv1.conv_out.bias,torch.Size([124]),124
218,features.denseblock2.denselayer8.conv1.qkv_conv.weight,"torch.Size([84, 352, 1, 1])",29568
219,features.denseblock2.denselayer8.conv1.qkv_conv.bias,torch.Size([84]),84
220,features.denseblock2.denselayer8.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
221,features.denseblock2.denselayer8.conv1.attn_out.bias,torch.Size([4]),4
222,features.denseblock2.denselayer8.norm2.weight,torch.Size([128]),128
223,features.denseblock2.denselayer8.norm2.bias,torch.Size([128]),128
224,features.denseblock2.denselayer8.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
225,features.denseblock2.denselayer8.conv2.conv_out.bias,torch.Size([28]),28
226,features.denseblock2.denselayer8.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
227,features.denseblock2.denselayer8.conv2.qkv_conv.bias,torch.Size([84]),84
228,features.denseblock2.denselayer8.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
229,features.denseblock2.denselayer8.conv2.attn_out.bias,torch.Size([4]),4
230,features.denseblock2.denselayer9.norm1.weight,torch.Size([384]),384
231,features.denseblock2.denselayer9.norm1.bias,torch.Size([384]),384
232,features.denseblock2.denselayer9.conv1.conv_out.weight,"torch.Size([124, 384, 1, 1])",47616
233,features.denseblock2.denselayer9.conv1.conv_out.bias,torch.Size([124]),124
234,features.denseblock2.denselayer9.conv1.qkv_conv.weight,"torch.Size([84, 384, 1, 1])",32256
235,features.denseblock2.denselayer9.conv1.qkv_conv.bias,torch.Size([84]),84
236,features.denseblock2.denselayer9.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
237,features.denseblock2.denselayer9.conv1.attn_out.bias,torch.Size([4]),4
238,features.denseblock2.denselayer9.norm2.weight,torch.Size([128]),128
239,features.denseblock2.denselayer9.norm2.bias,torch.Size([128]),128
240,features.denseblock2.denselayer9.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
241,features.denseblock2.denselayer9.conv2.conv_out.bias,torch.Size([28]),28
242,features.denseblock2.denselayer9.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
243,features.denseblock2.denselayer9.conv2.qkv_conv.bias,torch.Size([84]),84
244,features.denseblock2.denselayer9.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
245,features.denseblock2.denselayer9.conv2.attn_out.bias,torch.Size([4]),4
246,features.denseblock2.denselayer10.norm1.weight,torch.Size([416]),416
247,features.denseblock2.denselayer10.norm1.bias,torch.Size([416]),416
248,features.denseblock2.denselayer10.conv1.conv_out.weight,"torch.Size([124, 416, 1, 1])",51584
249,features.denseblock2.denselayer10.conv1.conv_out.bias,torch.Size([124]),124
250,features.denseblock2.denselayer10.conv1.qkv_conv.weight,"torch.Size([84, 416, 1, 1])",34944
251,features.denseblock2.denselayer10.conv1.qkv_conv.bias,torch.Size([84]),84
252,features.denseblock2.denselayer10.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
253,features.denseblock2.denselayer10.conv1.attn_out.bias,torch.Size([4]),4
254,features.denseblock2.denselayer10.norm2.weight,torch.Size([128]),128
255,features.denseblock2.denselayer10.norm2.bias,torch.Size([128]),128
256,features.denseblock2.denselayer10.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
257,features.denseblock2.denselayer10.conv2.conv_out.bias,torch.Size([28]),28
258,features.denseblock2.denselayer10.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
259,features.denseblock2.denselayer10.conv2.qkv_conv.bias,torch.Size([84]),84
260,features.denseblock2.denselayer10.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
261,features.denseblock2.denselayer10.conv2.attn_out.bias,torch.Size([4]),4
262,features.denseblock2.denselayer11.norm1.weight,torch.Size([448]),448
263,features.denseblock2.denselayer11.norm1.bias,torch.Size([448]),448
264,features.denseblock2.denselayer11.conv1.conv_out.weight,"torch.Size([124, 448, 1, 1])",55552
265,features.denseblock2.denselayer11.conv1.conv_out.bias,torch.Size([124]),124
266,features.denseblock2.denselayer11.conv1.qkv_conv.weight,"torch.Size([84, 448, 1, 1])",37632
267,features.denseblock2.denselayer11.conv1.qkv_conv.bias,torch.Size([84]),84
268,features.denseblock2.denselayer11.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
269,features.denseblock2.denselayer11.conv1.attn_out.bias,torch.Size([4]),4
270,features.denseblock2.denselayer11.norm2.weight,torch.Size([128]),128
271,features.denseblock2.denselayer11.norm2.bias,torch.Size([128]),128
272,features.denseblock2.denselayer11.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
273,features.denseblock2.denselayer11.conv2.conv_out.bias,torch.Size([28]),28
274,features.denseblock2.denselayer11.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
275,features.denseblock2.denselayer11.conv2.qkv_conv.bias,torch.Size([84]),84
276,features.denseblock2.denselayer11.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
277,features.denseblock2.denselayer11.conv2.attn_out.bias,torch.Size([4]),4
278,features.denseblock2.denselayer12.norm1.weight,torch.Size([480]),480
279,features.denseblock2.denselayer12.norm1.bias,torch.Size([480]),480
280,features.denseblock2.denselayer12.conv1.conv_out.weight,"torch.Size([124, 480, 1, 1])",59520
281,features.denseblock2.denselayer12.conv1.conv_out.bias,torch.Size([124]),124
282,features.denseblock2.denselayer12.conv1.qkv_conv.weight,"torch.Size([84, 480, 1, 1])",40320
283,features.denseblock2.denselayer12.conv1.qkv_conv.bias,torch.Size([84]),84
284,features.denseblock2.denselayer12.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
285,features.denseblock2.denselayer12.conv1.attn_out.bias,torch.Size([4]),4
286,features.denseblock2.denselayer12.norm2.weight,torch.Size([128]),128
287,features.denseblock2.denselayer12.norm2.bias,torch.Size([128]),128
288,features.denseblock2.denselayer12.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
289,features.denseblock2.denselayer12.conv2.conv_out.bias,torch.Size([28]),28
290,features.denseblock2.denselayer12.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
291,features.denseblock2.denselayer12.conv2.qkv_conv.bias,torch.Size([84]),84
292,features.denseblock2.denselayer12.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
293,features.denseblock2.denselayer12.conv2.attn_out.bias,torch.Size([4]),4
294,features.transition2.norm.weight,torch.Size([512]),512
295,features.transition2.norm.bias,torch.Size([512]),512
296,features.transition2.conv.weight,"torch.Size([256, 512, 1, 1])",131072
297,features.denseblock3.denselayer1.norm1.weight,torch.Size([256]),256
298,features.denseblock3.denselayer1.norm1.bias,torch.Size([256]),256
299,features.denseblock3.denselayer1.conv1.conv_out.weight,"torch.Size([124, 256, 1, 1])",31744
300,features.denseblock3.denselayer1.conv1.conv_out.bias,torch.Size([124]),124
301,features.denseblock3.denselayer1.conv1.qkv_conv.weight,"torch.Size([84, 256, 1, 1])",21504
302,features.denseblock3.denselayer1.conv1.qkv_conv.bias,torch.Size([84]),84
303,features.denseblock3.denselayer1.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
304,features.denseblock3.denselayer1.conv1.attn_out.bias,torch.Size([4]),4
305,features.denseblock3.denselayer1.norm2.weight,torch.Size([128]),128
306,features.denseblock3.denselayer1.norm2.bias,torch.Size([128]),128
307,features.denseblock3.denselayer1.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
308,features.denseblock3.denselayer1.conv2.conv_out.bias,torch.Size([28]),28
309,features.denseblock3.denselayer1.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
310,features.denseblock3.denselayer1.conv2.qkv_conv.bias,torch.Size([84]),84
311,features.denseblock3.denselayer1.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
312,features.denseblock3.denselayer1.conv2.attn_out.bias,torch.Size([4]),4
313,features.denseblock3.denselayer2.norm1.weight,torch.Size([288]),288
314,features.denseblock3.denselayer2.norm1.bias,torch.Size([288]),288
315,features.denseblock3.denselayer2.conv1.conv_out.weight,"torch.Size([124, 288, 1, 1])",35712
316,features.denseblock3.denselayer2.conv1.conv_out.bias,torch.Size([124]),124
317,features.denseblock3.denselayer2.conv1.qkv_conv.weight,"torch.Size([84, 288, 1, 1])",24192
318,features.denseblock3.denselayer2.conv1.qkv_conv.bias,torch.Size([84]),84
319,features.denseblock3.denselayer2.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
320,features.denseblock3.denselayer2.conv1.attn_out.bias,torch.Size([4]),4
321,features.denseblock3.denselayer2.norm2.weight,torch.Size([128]),128
322,features.denseblock3.denselayer2.norm2.bias,torch.Size([128]),128
323,features.denseblock3.denselayer2.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
324,features.denseblock3.denselayer2.conv2.conv_out.bias,torch.Size([28]),28
325,features.denseblock3.denselayer2.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
326,features.denseblock3.denselayer2.conv2.qkv_conv.bias,torch.Size([84]),84
327,features.denseblock3.denselayer2.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
328,features.denseblock3.denselayer2.conv2.attn_out.bias,torch.Size([4]),4
329,features.denseblock3.denselayer3.norm1.weight,torch.Size([320]),320
330,features.denseblock3.denselayer3.norm1.bias,torch.Size([320]),320
331,features.denseblock3.denselayer3.conv1.conv_out.weight,"torch.Size([124, 320, 1, 1])",39680
332,features.denseblock3.denselayer3.conv1.conv_out.bias,torch.Size([124]),124
333,features.denseblock3.denselayer3.conv1.qkv_conv.weight,"torch.Size([84, 320, 1, 1])",26880
334,features.denseblock3.denselayer3.conv1.qkv_conv.bias,torch.Size([84]),84
335,features.denseblock3.denselayer3.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
336,features.denseblock3.denselayer3.conv1.attn_out.bias,torch.Size([4]),4
337,features.denseblock3.denselayer3.norm2.weight,torch.Size([128]),128
338,features.denseblock3.denselayer3.norm2.bias,torch.Size([128]),128
339,features.denseblock3.denselayer3.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
340,features.denseblock3.denselayer3.conv2.conv_out.bias,torch.Size([28]),28
341,features.denseblock3.denselayer3.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
342,features.denseblock3.denselayer3.conv2.qkv_conv.bias,torch.Size([84]),84
343,features.denseblock3.denselayer3.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
344,features.denseblock3.denselayer3.conv2.attn_out.bias,torch.Size([4]),4
