,layer,shape,size
704,features.denseblock4.denselayer2.conv1.qkv_conv.weight,"torch.Size([84, 544, 1, 1])",45696
705,features.denseblock4.denselayer2.conv1.qkv_conv.bias,torch.Size([84]),84
706,features.denseblock4.denselayer2.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
707,features.denseblock4.denselayer2.conv1.attn_out.bias,torch.Size([4]),4
708,features.denseblock4.denselayer2.norm2.weight,torch.Size([128]),128
709,features.denseblock4.denselayer2.norm2.bias,torch.Size([128]),128
710,features.denseblock4.denselayer2.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
711,features.denseblock4.denselayer2.conv2.conv_out.bias,torch.Size([28]),28
712,features.denseblock4.denselayer2.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
713,features.denseblock4.denselayer2.conv2.qkv_conv.bias,torch.Size([84]),84
714,features.denseblock4.denselayer2.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
715,features.denseblock4.denselayer2.conv2.attn_out.bias,torch.Size([4]),4
716,features.denseblock4.denselayer3.norm1.weight,torch.Size([576]),576
717,features.denseblock4.denselayer3.norm1.bias,torch.Size([576]),576
718,features.denseblock4.denselayer3.conv1.conv_out.weight,"torch.Size([124, 576, 1, 1])",71424
719,features.denseblock4.denselayer3.conv1.conv_out.bias,torch.Size([124]),124
720,features.denseblock4.denselayer3.conv1.qkv_conv.weight,"torch.Size([84, 576, 1, 1])",48384
721,features.denseblock4.denselayer3.conv1.qkv_conv.bias,torch.Size([84]),84
722,features.denseblock4.denselayer3.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
723,features.denseblock4.denselayer3.conv1.attn_out.bias,torch.Size([4]),4
724,features.denseblock4.denselayer3.norm2.weight,torch.Size([128]),128
725,features.denseblock4.denselayer3.norm2.bias,torch.Size([128]),128
726,features.denseblock4.denselayer3.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
727,features.denseblock4.denselayer3.conv2.conv_out.bias,torch.Size([28]),28
728,features.denseblock4.denselayer3.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
729,features.denseblock4.denselayer3.conv2.qkv_conv.bias,torch.Size([84]),84
730,features.denseblock4.denselayer3.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
731,features.denseblock4.denselayer3.conv2.attn_out.bias,torch.Size([4]),4
732,features.denseblock4.denselayer4.norm1.weight,torch.Size([608]),608
733,features.denseblock4.denselayer4.norm1.bias,torch.Size([608]),608
734,features.denseblock4.denselayer4.conv1.conv_out.weight,"torch.Size([124, 608, 1, 1])",75392
735,features.denseblock4.denselayer4.conv1.conv_out.bias,torch.Size([124]),124
736,features.denseblock4.denselayer4.conv1.qkv_conv.weight,"torch.Size([84, 608, 1, 1])",51072
737,features.denseblock4.denselayer4.conv1.qkv_conv.bias,torch.Size([84]),84
738,features.denseblock4.denselayer4.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
739,features.denseblock4.denselayer4.conv1.attn_out.bias,torch.Size([4]),4
740,features.denseblock4.denselayer4.norm2.weight,torch.Size([128]),128
741,features.denseblock4.denselayer4.norm2.bias,torch.Size([128]),128
742,features.denseblock4.denselayer4.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
743,features.denseblock4.denselayer4.conv2.conv_out.bias,torch.Size([28]),28
744,features.denseblock4.denselayer4.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
745,features.denseblock4.denselayer4.conv2.qkv_conv.bias,torch.Size([84]),84
746,features.denseblock4.denselayer4.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
747,features.denseblock4.denselayer4.conv2.attn_out.bias,torch.Size([4]),4
748,features.denseblock4.denselayer5.norm1.weight,torch.Size([640]),640
749,features.denseblock4.denselayer5.norm1.bias,torch.Size([640]),640
750,features.denseblock4.denselayer5.conv1.conv_out.weight,"torch.Size([124, 640, 1, 1])",79360
751,features.denseblock4.denselayer5.conv1.conv_out.bias,torch.Size([124]),124
752,features.denseblock4.denselayer5.conv1.qkv_conv.weight,"torch.Size([84, 640, 1, 1])",53760
753,features.denseblock4.denselayer5.conv1.qkv_conv.bias,torch.Size([84]),84
754,features.denseblock4.denselayer5.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
755,features.denseblock4.denselayer5.conv1.attn_out.bias,torch.Size([4]),4
756,features.denseblock4.denselayer5.norm2.weight,torch.Size([128]),128
757,features.denseblock4.denselayer5.norm2.bias,torch.Size([128]),128
758,features.denseblock4.denselayer5.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
759,features.denseblock4.denselayer5.conv2.conv_out.bias,torch.Size([28]),28
760,features.denseblock4.denselayer5.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
761,features.denseblock4.denselayer5.conv2.qkv_conv.bias,torch.Size([84]),84
762,features.denseblock4.denselayer5.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
763,features.denseblock4.denselayer5.conv2.attn_out.bias,torch.Size([4]),4
764,features.denseblock4.denselayer6.norm1.weight,torch.Size([672]),672
765,features.denseblock4.denselayer6.norm1.bias,torch.Size([672]),672
766,features.denseblock4.denselayer6.conv1.conv_out.weight,"torch.Size([124, 672, 1, 1])",83328
767,features.denseblock4.denselayer6.conv1.conv_out.bias,torch.Size([124]),124
768,features.denseblock4.denselayer6.conv1.qkv_conv.weight,"torch.Size([84, 672, 1, 1])",56448
769,features.denseblock4.denselayer6.conv1.qkv_conv.bias,torch.Size([84]),84
770,features.denseblock4.denselayer6.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
771,features.denseblock4.denselayer6.conv1.attn_out.bias,torch.Size([4]),4
