,layer,shape,size
334,features.denseblock4.denselayer12.norm2.bias,torch.Size([128]),128
335,features.denseblock4.denselayer12.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
336,features.denseblock4.denselayer13.norm1.weight,torch.Size([896]),896
337,features.denseblock4.denselayer13.norm1.bias,torch.Size([896]),896
338,features.denseblock4.denselayer13.conv1.weight,"torch.Size([128, 896, 1, 1])",114688
339,features.denseblock4.denselayer13.norm2.weight,torch.Size([128]),128
340,features.denseblock4.denselayer13.norm2.bias,torch.Size([128]),128
341,features.denseblock4.denselayer13.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
342,features.denseblock4.denselayer14.norm1.weight,torch.Size([928]),928
343,features.denseblock4.denselayer14.norm1.bias,torch.Size([928]),928
344,features.denseblock4.denselayer14.conv1.weight,"torch.Size([128, 928, 1, 1])",118784
345,features.denseblock4.denselayer14.norm2.weight,torch.Size([128]),128
346,features.denseblock4.denselayer14.norm2.bias,torch.Size([128]),128
347,features.denseblock4.denselayer14.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
348,features.denseblock4.denselayer15.norm1.weight,torch.Size([960]),960
349,features.denseblock4.denselayer15.norm1.bias,torch.Size([960]),960
350,features.denseblock4.denselayer15.conv1.weight,"torch.Size([128, 960, 1, 1])",122880
351,features.denseblock4.denselayer15.norm2.weight,torch.Size([128]),128
352,features.denseblock4.denselayer15.norm2.bias,torch.Size([128]),128
353,features.denseblock4.denselayer15.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
354,features.denseblock4.denselayer16.norm1.weight,torch.Size([992]),992
355,features.denseblock4.denselayer16.norm1.bias,torch.Size([992]),992
356,features.denseblock4.denselayer16.conv1.weight,"torch.Size([128, 992, 1, 1])",126976
357,features.denseblock4.denselayer16.norm2.weight,torch.Size([128]),128
358,features.denseblock4.denselayer16.norm2.bias,torch.Size([128]),128
359,features.denseblock4.denselayer16.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
360,features.norm5.weight,torch.Size([1024]),1024
361,features.norm5.bias,torch.Size([1024]),1024
362,classifier.weight,"torch.Size([100, 1024])",102400
363,classifier.bias,torch.Size([100]),100
